,var,name,v0,vinf,tau
0,SAT,H_1000C_200y,2.537172396956231,3.286607030090854,125.16997910667949
1,SAT,C_1000C_200y,3.2369892886923326,2.5488651723448212,19.393019584647938
2,icef,H_1000C_200y,-3.677680548290018,-5.44556913215436,103.58364893037418
3,icef,C_1000C_200y,-5.378412289943659,-3.8074031697192527,22.77380464498775
4,NPP,H_1000C_200y,31.92449548053625,23.504005323654287,4.430040885953717
5,NPP,C_1000C_200y,31.861192464948626,25.013888405109814,24.74873627237089
6,AtmC,H_1000C_200y,914.6702323165758,702.7597465112988,92.77195846167797
7,AtmC,C_1000C_200y,774.8555319672704,485.8107326397118,67.94071235105281
8,Forcing,H_1000C_200y,3.676490045529687,3.3813531368101986,88.65571714543077
9,Forcing,C_1000C_200y,4.314769412637508,3.0724932172139487,76.73718414913944
10,OcC,H_1000C_200y,140.35201811414206,305.18050620469836,133.31268076143857
11,OcC,C_1000C_200y,197.10308750880435,399.56859169878163,134.6785785306427
12,LandC,H_1000C_200y,-56.67555682273063,-16.598549145962306,34.655358859097475
13,LandC,C_1000C_200y,9.440017846383512,128.5754509666324,26.717328513846148
14,VegC,H_1000C_200y,57.49432029550783,408605.75078449433,1805396.1172881443
15,VegC,C_1000C_200y,115.6920704127726,104.34646874715746,53.63021118156521
16,SoilC,H_1000C_200y,-96.4589734365076,-439396.4025289526,7506883.844815361
17,SoilC,C_1000C_200y,-102.4224639246613,24.61075506581976,30.229996181179782
